,5760500,5569459,5515007,5683441,5354640,5062867,5693783,6002108,5822424,,145th Street,5739790,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,5445130,5245100,5340303,5456978,5044021,5649191,5820958,5667025,5560484,,157th Street,5189077,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,3834800,3747000,3853390,4018369,4208109,4719161,4826602,5016053,5415242,,168th Street,9907460,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,6968000,6632900,6485006,6785767,6810719,7531532,7655932,8102980,8494819,,181st Street,7116034,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,2131750,2012194,2198560,2281740,2073554,2676815,2558635,3047853,3101362,,191st Street,2023845,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,2381300,2352500,2299300,2505103,2617191,3257610,3961421,4525782,4880152,,Dyckman Street,2330205,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,1818190,1760171,1678783,1742909,1828601,2892248,2540550,2071950,4884312,,207th Street,1699016,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,433407,426000,427633,422013,413100,585181,696986,772855,791875,,215th Street-Inham Pk.,396943,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,512470,519960,620943,596139,615364,706950,871832,1043078,1119791,,225th Street,476901,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,4899756,,4749182,,4745877,4800066,6100828,5581670,6314678,,"BRONX, B'WAY, 231ST ST. TO 242D STREET",4847180,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,4499221,4580502,,4766785,,,5119645,4607209,4701055,,231st Street,4547921,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,207835,230430,240370,279531,317564,401849,485108,686960,805657,,238th Street,199686,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,4042700,3706240,3705440,3669549,3848093,3978325,4814783,3887501,4807966,,242d Street (Van Cortlandt Pk.),3299573,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,82084400,80936754,81860657,82601873,82369874,81829884,82916837,84098805,83745879,,"MANHATTAN, LENOX AVE.",80648159,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,5837200,5753502,5638086,5790600,5859340,6128660,6371858,6773166,6552896,,110th Street,6612975,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,7008200,7008301,7312544,7750113,7839073,8151398,8507513,8671300,8924413,,116th Street,7374418,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,6830800,6658867,6901294,7429608,7614745,7728906,7862052,8292906,8068114,,125th Street,6497259,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,9428000,8832498,9121606,9399181,8920162,8506151,8270021,8613619,8553670,,135th Street,8993107,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,7798800,7684756,7750088,8060113,7818635,8184004,8285231,8811275,9041413,,145th Street,7719418,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,49460820,47466401,47055856,48745806,49560648,51183089,61668716,54038495,63661438,,"BRONX, WEST FARMS BR.",47941869,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,4110000,,,,3107408,3145981,4189203,3798683,4190983,,Mott Avenue,3817402,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,7739200,7649763,7496903,7765769,7107821,,5189202,7198683,4847336,,Third Avenue,7210912,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,5089100,4855800,4619502,4652019,4008040,4527099,4479085,4519550,4470701,,Jackson Avenue,4678514,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,8549200,8253900,8094700,8328166,8594338,8846540,9483457,9968413,10376619,,Prospect Avenue,7816908,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,3964200,3683188,3470460,3566028,3568664,3608706,3592144,3692950,3715797,,Intervale Avenue,5906590,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,6455300,6169700,6292916,6511122,6923868,7386776,7623527,7705820,7614921,,Simpson Street,6518844,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,8503380,8230090,8329460,8738920,8764894,9264649,9545459,9898454,10271710,,Freeman Street,7810206,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,4025350,3906050,3974705,4209191,4618290,4042957,5734163,6305369,6508938,,174th Street,3724950,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,3433600,3066600,3183042,3481375,3828905,3874409,4040875,4325631,4573027,,177th Street,2457081,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,2423750,2221100,2323000,2591740,2011751,2604181,2706816,2866869,3098066,,180th Street (Bronx Pk.),2380463,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,367757914,354736415,361671786,375167037,376117420,391998758,399708850,430016528,434287365,,"Total, Contract 1 and 2 Stations",369539729,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,432030,448808,297754,207161,214073,181103,170872,211219,356329,,Miscellaneous ticket sales,1055826,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,368189944,355235223,361969640,375374198,376332493,392179861,399879522,430227747,434543694,,"Total, Contracts 1 and 2",370595555,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Bronx stations (Contract 1 and 2)"
,116461950,163840780,188127255,178701293,143085077,165005841,158514860,176035363,179891882,,SEVENTH AVENUE LINE,101528860,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,25120700,16220269,16623800,17050950,22349396,23186694,27594935,33555346,34490061,,Times Square (a),21408580,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,23071850,25009851,27772768,30151030,22073801,35506437,37974255,41885547,42922266,,Pennsylvania Station,19660619,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,3760100,3985820,4250360,4480724,4379589,4475249,4651251,5218961,5228707,,28th Street,3451361,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,3429200,3509000,3904566,4208966,3858000,4001668,4048851,4533426,4786771,,23d Street,3174288,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,2901480,3008900,3222619,3235246,3402650,3402659,3836158,3618622,3523965,,18th Street,2575980,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,9002700,9145580,9905140,13504865,12649218,12719313,13044780,13936289,13821909,,14th Street,8174028,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,2730200,2741912,2785750,2865862,2933500,,,,,,Christopher Street,2231090,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,3320270,3541025,3876564,3865862,3933266,4144586,4419834,4392859,6311846,,Houston Street,2731404,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,3561500,3766400,3906088,4126540,3966000,4126867,4328095,4498440,4656288,,Canal Street,3043801,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,2284004,2183205,2342205,2805797,3193880,3504575,2854396,2614200,2559764,,Franklin Street,2043617,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,6487500,6682000,7062263,7246140,7252197,7343874,7259414,7649388,7420403,,Chambers Street,5427099,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
