Line Type,Number of Fare Passengers Carried During Fiscal Year 1939,Increase or (D) Decrease in Traffic During 1939 - Number of Passengers,Increase or (D) Decrease in Traffic During 1939 - Per Cent,Month,Year,Station,Fiscal Year 1939,Fiscal Year 1938,Increase or (D) Decrease Number,Increase or (D) Decrease Per Cent,STATIONS,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,Line,Borough,LINE,BOROUGH,_page,_page_desc
,,,,,,Times Square (all entrances),43039594,43235596,D 196002,D 0.45,,,,,,,,,,,,,,,,2,"Interborough Rapid Transit Company - Subway Division station fares collected, fiscal years 1939 vs 1938"
,,,,,,Grand Central (all entrances),40318242,41926197,D 1607955,D 3.84,,,,,,,,,,,,,,,,2,"Interborough Rapid Transit Company - Subway Division station fares collected, fiscal years 1939 vs 1938"
,,,,,,Pennsylvania Station,22804203,22730680,67423,0.21,,,,,,,,,,,,,,,,2,"Interborough Rapid Transit Company - Subway Division station fares collected, fiscal years 1939 vs 1938"
,,,,,,14th Street (Fourth Avenue),23802009,24421333,D 619264,D 2.54,,,,,,,,,,,,,,,,2,"Interborough Rapid Transit Company - Subway Division station fares collected, fiscal years 1939 vs 1938"
,,,,,,Fulton Street (Broadway),13104173,13461037,D 356854,D 2.65,,,,,,,,,,,,,,,,2,"Interborough Rapid Transit Company - Subway Division station fares collected, fiscal years 1939 vs 1938"
,,,,,,59th Street (Broadway),12614299,12836221,278078,2.25,,,,,,,,,,,,,,,,2,"Interborough Rapid Transit Company - Subway Division station fares collected, fiscal years 1939 vs 1938"
,,,,,,86th Street (Lexington Avenue),11562437,12006682,D 444345,D 3.70,,,,,,,,,,,,,,,,2,"Interborough Rapid Transit Company - Subway Division station fares collected, fiscal years 1939 vs 1938"
,,,,,,Utica Avenue (Eastern Parkway Line),10856374,10815362,41012,0.38,,,,,,,,,,,,,,,,2,"Interborough Rapid Transit Company - Subway Division station fares collected, fiscal years 1939 vs 1938"
,,,,,,72nd Street (Broadway),10360582,10265978,94604,0.92,,,,,,,,,,,,,,,,2,"Interborough Rapid Transit Company - Subway Division station fares collected, fiscal years 1939 vs 1938"
,,,,,,Atlantic Avenue (Brooklyn),10345654,11137352,D 788698,D 7.05,,,,,,,,,,,,,,,,2,"Interborough Rapid Transit Company - Subway Division station fares collected, fiscal years 1939 vs 1938"
,,,,,,Total,208510027,212342438,D 3531811,D 1.66,,,,,,,,,,,,,,,,2,"Interborough Rapid Transit Company - Subway Division station fares collected, fiscal years 1939 vs 1938"
,,,,,,Per Cent of Total Traffic on I.R.T. Subway,,,,,,,,,,,,,,,,,,,,2,"Interborough Rapid Transit Company - Subway Division station fares collected, fiscal years 1939 vs 1938"
,,,,,,"Times Square (Broadway Line, Manhattan)",31082181,31583887,D 501706,D 1.50,,,,,,,,,,,,,,,,2,"New York Rapid Transit Corporation (B.-M.T.) station fares collected, fiscal years 1939 vs 1938"
,,,,,,"42nd Street (Broadway Line, Manhattan)",25105020,25596390,D 491306,D 0.72,,,,,,,,,,,,,,,,2,"New York Rapid Transit Corporation (B.-M.T.) station fares collected, fiscal years 1939 vs 1938"
,,,,,,"34th Street (Broadway Line, Manhattan)",23063596,23231742,D 168146,D 1.24,,,,,,,,,,,,,,,,2,"New York Rapid Transit Corporation (B.-M.T.) station fares collected, fiscal years 1939 vs 1938"
,,,,,,"109th Street (Broadway Line, Manhattan)",11749824,11896900,D 147076,D 1.24,,,,,,,,,,,,,,,,2,"New York Rapid Transit Corporation (B.-M.T.) station fares collected, fiscal years 1939 vs 1938"
,,,,,,Stillwell Avenue (Coney Island) (a),9958502,9808290,60212,0.61,,,,,,,,,,,,,,,,2,"New York Rapid Transit Corporation (B.-M.T.) station fares collected, fiscal years 1939 vs 1938"
,,,,,,"49th Street (Broadway Line, Manhattan)",9210404,9401754,D 191350,D 2.04,,,,,,,,,,,,,,,,2,"New York Rapid Transit Corporation (B.-M.T.) station fares collected, fiscal years 1939 vs 1938"
,,,,,,"Cortlandt Street (Broadway Line, Manhattan)",9034096,6137378,D 53282,D 0.58,,,,,,,,,,,,,,,,2,"New York Rapid Transit Corporation (B.-M.T.) station fares collected, fiscal years 1939 vs 1938"
,,,,,,"23rd Street (Broadway Line, Manhattan)",8977022,9224595,D 247573,D 2.65,,,,,,,,,,,,,,,,2,"New York Rapid Transit Corporation (B.-M.T.) station fares collected, fiscal years 1939 vs 1938"
,,,,,,DeKalb Avenue (Fourth Avenue Line),8434147,8231997,202150,2.46,,,,,,,,,,,,,,,,2,"New York Rapid Transit Corporation (B.-M.T.) station fares collected, fiscal years 1939 vs 1938"
,,,,,,"Kings Highway (Brighton Beach Line, Brooklyn)",6632917,6911727,D 258810,D 3.74,,,,,,,,,,,,,,,,2,"New York Rapid Transit Corporation (B.-M.T.) station fares collected, fiscal years 1939 vs 1938"
,,,,,,Pacific Street (Fourth Avenue Line),,,,,,,,,,,,,,,,,,,,2,"New York Rapid Transit Corporation (B.-M.T.) station fares collected, fiscal years 1939 vs 1938"
,,,,,,Total,143317715,145114660,D 1796945,D 1.24,,,,,,,,,,,,,,,,2,"New York Rapid Transit Corporation (B.-M.T.) station fares collected, fiscal years 1939 vs 1938"
,,,,,,Per Cent of Total Traffic on N.Y.R.T. Corp.,26.39,26.37,,,,,,,,,,,,,,,,,,2,"New York Rapid Transit Corporation (B.-M.T.) station fares collected, fiscal years 1939 vs 1938"
,,,,,,34th Street (Eighth Avenue Line),26492152,24870185,1621967,7.39,,,,,,,,,,,,,,,,2,"City of New York-Independent System station fares collected, fiscal years 1939 vs 1938"
,,,,,,42nd Street (Eighth Avenue Line),25263060,23663924,1599136,6.76,,,,,,,,,,,,,,,,2,"City of New York-Independent System station fares collected, fiscal years 1939 vs 1938"
,,,,,,59th Street (Queens Boulevard Line),10901088,8598153,2362905,27.45,,,,,,,,,,,,,,,,2,"City of New York-Independent System station fares collected, fiscal years 1939 vs 1938"
,,,,,,Chambers Street (Eighth Avenue Line),10922808,10247620,675288,6.59,,,,,,,,,,,,,,,,2,"City of New York-Independent System station fares collected, fiscal years 1939 vs 1938"
,,,,,,50th Street (Eighth Avenue Line),10382781,9847660,535121,5.43,,,,,,,,,,,,,,,,2,"City of New York-Independent System station fares collected, fiscal years 1939 vs 1938"
,,,,,,168th Street (Eighth Avenue Line),10105688,9321146,784542,8.42,,,,,,,,,,,,,,,,2,"City of New York-Independent System station fares collected, fiscal years 1939 vs 1938"
,,,,,,Broadway-Nassau St. (Eighth Avenue Line),9781045,9464839,316500,3.34,,,,,,,,,,,,,,,,2,"City of New York-Independent System station fares collected, fiscal years 1939 vs 1938"
,,,,,,59th Street (Eighth Avenue Line),9448198,9208904,239234,2.60,,,,,,,,,,,,,,,,2,"City of New York-Independent System station fares collected, fiscal years 1939 vs 1938"
,,,,,,125th Street (Eighth Avenue Line),8777133,8355271,421862,5.05,,,,,,,,,,,,,,,,2,"City of New York-Independent System station fares collected, fiscal years 1939 vs 1938"
,,,,,,23rd Street (Eighth Avenue Line),8721977,7899310,822667,10.41,,,,,,,,,,,,,,,,2,"City of New York-Independent System station fares collected, fiscal years 1939 vs 1938"
,,,,,,Total,130855930,121276702,9579228,7.90,,,,,,,,,,,,,,,,2,"City of New York-Independent System station fares collected, fiscal years 1939 vs 1938"
,,,,,,Per Cent of Total Traffic on City of New York-Independent System,34.11,34.67,,,,,,,,,,,,,,,,,,2,"City of New York-Independent System station fares collected, fiscal years 1939 vs 1938"
,,,,,,,,,,,BROOKLYN STATIONS (see Contract 2),44989005,43806827,40188889,36764018,33569515,32878943,33780110,30878880,37819085,35927147,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Atlantic Avenue,19795145,19083776,16714077,14864548,13629169,12874019,13017650,13390026,11137353,10948034,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Nevins Street,8452036,8143996,5979244,5503438,5523606,5109447,5578171,6519420,8552077,8405715,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Hoyt Street,8590198,9086225,8637882,8817075,7803854,7669440,4879714,4352607,3926840,3708503,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Borough Hall (a),149655626,140883830,134181686,184025195,153454114,180897574,183443377,181160106,116850061,112614456,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,"MANHATTAN, EAST, 60. FT. TO GRAND CENTRAL",,,,,,,,,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,South Ferry,915648,970028,930809,946843,3532643,5443074,5699720,900685,8589009,13104173,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Bowling Green,7975678,7839163,6791551,9300718,9429080,12855838,33261877,13087976,13461037,290894,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Wall Street & Broadway,13532881,11266006,8777675,13506459,13541505,912063,307632,,9733541,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Fulton Street & Broadway,17154055,16450867,14922649,340635,328446,,11900900,10808850,,9493661,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,City Hall,606101,452509,,,11949518,,3259828,2605123,3465887,3581879,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Brooklyn Bridge,13084884,15830903,13876275,32679422,,11977403,4016518,3123787,2795583,2722080,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Worth Street,1764827,2188563,2303736,2053933,4107884,4060897,,,,2801629,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Canal Street,4805783,4638538,3804892,2686673,3651051,3344966,3242723,3058849,6311001,6186005,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Spring Street,3888930,3929640,,3544498,4152226,,4261869,4428932,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Bleecker Street,4175897,3981365,3641105,6072633,6076085,8895692,,25880395,24421833,22802069,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Astor Place,6799985,6643406,,37025854,36925037,26500319,38175165,2426446,2730223,2263499,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,14th Street,38243281,37701337,38067676,,36092627,34348814,3806976,3163790,8014305,7916148,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,18th Street,2776809,2579105,2449858,8549458,5283197,4240202,7155088,7014130,6767571,6537408,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,23rd Street,8975775,9102011,8132360,6925675,7022183,7093821,7993864,8117787,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,28th Street,5453090,5130198,7491976,7844424,7382983,7781567,9145813,10763499,10764438,10296893,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,33rd Street,9155999,9049289,8395887,10378400,10554058,10058261,,17667443,17053907,17236298,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Grand Central (a),14592250,13690783,,77440418,77624096,,17960841,18412655,12635221,12614299,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,"MANHATTAN, WEST, TIMES SQ. TO 96TH ST.",94865469,91190702,86083056,,15731072,17653106,18082954,18991021,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Times Square (a),22188924,21159179,19174237,12597670,12419747,12710937,8329765,8848924,6855197,8785627,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,50th Street,15331473,14632522,13703737,12225562,,,9890863,9832141,2730803,3735627,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Columbus Circle (59th Street),9868401,9403299,8947422,7560217,6049179,4001783,11081723,10725994,10266978,10360382,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,66th Street,5069281,4822009,4517711,4104049,11294819,11295367,6007983,6555076,5330896,8490831,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,72nd Street,13065587,13771236,12318368,11275740,6025821,4070278,8720560,6451707,5347686,4089383,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,79th Street,6282799,6297781,6162619,6855158,5532625,6667828,3609180,3503725,3551411,4390882,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,86th Street,7820919,7230448,7038450,3473781,2608100,3612040,9747865,9350220,9035764,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,91st Street,3760950,3700850,3629041,9710783,8399176,,,,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,96th Street,7153157,11040876,10548854,,48449176,45889305,,3553361,5207855,5827835,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,"MANHATTAN, UPPER B'WAY TO 225TH STREET",65018376,67888643,64407344,63245554,5335815,5499495,5020548,5014638,4800628,3956179,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,103rd Street,6840873,8933590,744709,5005109,4835714,5451043,4286071,4136706,3983395,3962203,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Cath. P'kway (110th Street),8319294,8177342,4947229,4246839,4179297,4296778,4218644,4136706,3983395,3962203,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Col. University (116th Street),5095365,4940265,4325251,4577920,4826567,5203562,5330675,5154845,5022041,4219329,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,125th Street,6810875,7109300,5762162,,,4406055,,3645854,3526554,3533278,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,City College (137th Street),5851507,8898266,5653591,4502933,4462984,,4478483,,3889994,4152978,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,145th Street (IRT),6152052,6143996,5485043,4312547,3906018,3046236,3109881,2954472,2842882,4342809,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,157th Street,5638170,5676328,,4595808,3138994,4093433,4955434,4732133,4172852,3597898,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,168th Street,5971850,6056434,5854453,6179861,6141105,,3365026,3731053,3627619,3606066,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,181st Street,8254874,7480150,8119056,2803217,3797197,3782916,3256567,3146833,,1185178,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,191st Street,3747898,3829665,3228384,3097975,3664920,2255925,,,1223467,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,Dyckman Street,4816249,4862970,4650820,1889160,1452273,1395430,,842774,237631,374702,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,207th Street,3018050,3141894,3792201,462218,374418,372772,364863,,,987636,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,215th Street,,813894,748543,1056840,999443,1012704,1048170,1069300,1027183,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,225th Street,1371470,1309644,1146841,,,,,,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 1 and 2 Stations - Fiscal Years Ended June 30, 1930 to 1939 (Brooklyn and Manhattan stations)"
,,,,,,,,,,,"BRONX, B'WAY, 221ST ST. TO 242ND STREET",6669197,6668195,,,2103785,3053920,6373869,6183895,5869826,5935881,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,231st Street,,1695640,3064659,1945286,1983868,830073,3339534,3170840,3127574,,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,238th Street,933084,937155,870619,831300,825807,,,3207854,3028322,3068143,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,242nd Street (Van Cort. Pk.),3600649,,,,,34818768,,33541087,32375074,,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,"MANHATTAN, LENOX AVENUE",,83196049,80190886,28081886,28091180,,,,,,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,110th Street,6792918,6440237,5807028,4886242,4900404,4089186,6066075,5922765,5587409,5358599,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,116th Street,7751770,7744528,7134738,5901264,5855333,6058028,5917977,5636869,5867534,5812058,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,125th Street,8037608,8034880,7378978,4836170,6129265,,5359286,5350050,,,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,135th Street,8602687,8345855,7693018,6764666,,4470344,1461568,1802894,1194936,1258241,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,145th Street,8376979,8349980,7929123,7683019,7488563,,45018048,43011134,46435167,,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,"BRONX, UPPER FARMS BR.",61494657,61531829,61913819,47888994,47089478,47150703,,,,,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,149th St. Grand Conc'se (Lower Level),1080502,1081808,1013418,,6882626,6501526,6758054,6848629,6721123,6619000,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,149th Street & Third Avenue,7098165,7114856,6893948,6887941,8805661,8320505,7853635,8939732,7338245,7148871,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Jackson Avenue,4499853,4517622,4217255,8614240,,,2901271,7860977,7379900,,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
