Date,Fare,Notes,Segment,Station,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,_page,_page_desc
,,,Concourse,205 St.,6044753,6433079,6999946,7448823,7391317,7436833,7931927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Concourse,Bedford Park Blvd.,2803766,2897325,2996260,3069962,4583771,4572842,4835176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Concourse,Kingsbridge Rd.,4360747,4443083,4536677,4693436,6845917,6990445,7781896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Concourse,Fordham Rd.,6184522,6435156,6809139,7009772,3902769,3993760,4157060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Concourse,182-183 Sts.,3752962,3883382,4040507,4038643,6572275,6665694,7281313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Concourse,Tremont Ave.,5413442,6050382,6266827,6547889,3749825,3766873,3995169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Concourse,174-175 Sts.,3541890,3770954,3886966,3816064,5691233,5750066,6169520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Concourse,170 St.,5391577,5684239,5909502,5878408,6142885,6318780,6724740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Concourse,167 St.,5846135,5931821,6028295,6107025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Concourse,155 St.,1222634,1547183,1668764,1538672,1555998,1737505,1904503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Concourse,Segment Total,44562437,47276674,49392682,50148694,49399931,50127996,53883363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,242 St.,2942028,2840390,2972617,2913954,2744585,2674739,2937643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,238 St.,812093,787402,808328,807542,793755,782573,802233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,231 St.,2011047,1917833,2021576,2224663,2294957,2197361,1984523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,225 St.,984579,929430,962903,926003,331991,367319,362040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,215 St.,622189,645728,357637,339670,995072,1028312,1083102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,207 St.,1169330,1049993,1018253,989461,1499797,1548908,1639173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,Dyckman St.,1952099,1726367,1667309,1785875,2452385,2484298,2516036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,191 St.,2617925,2490067,2501296,2542523,3097893,3973622,4159361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,181 St.,4389076,3884320,3763079,3836691,2286382,2911391,3074421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,157 St.,3460856,3145604,3045231,3045231,3226068,3264852,3462130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,145 St.,4947139,4657995,4528998,4664225,4648923,3507512,3737189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,137 St.,3664534,3400156,3303859,3271312,3355098,3990495,4698476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,125 St.,3809766,3506767,3528625,3682717,4304399,4434429,4633697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,116 St./Columbia Univ.,4743035,4465801,4288695,4283456,4909449,5114623,5330734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,Cathedral Pkwy.,5543445,5210953,5098449,4984402,8095666,8501482,9041971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,103 St.,9316504,8771963,8332728,8184863,3235108,3338884,3293651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,96 St.,4541929,3931559,3354268,3295748,4868250,5092768,6078730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,91 St. (Closed 2/2/59),6524311,6094381,5936917,5922484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,79 St.,5440407,5118978,4964488,4972681,10172514,10718172,10845180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,72 St.,10497864,9981906,9815700,10032023,3413327,3778040,3940202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,66 St.,3845857,3594165,3289536,3398409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Broadway/7 Ave.,Segment Total,86852096,81187216,79576513,79119669,78668425,81522706,85187021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Jerome Ave.,Woodlawn,1663588,1563284,1597186,1390926,1304932,1261501,1409218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Jerome Ave.,Mosholu Pkwy.,3086160,2746516,2534303,2303200,2154305,2149354,2249091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Jerome Ave.,Bedford Park Blvd.,761032,761787,766599,644259,2478213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Jerome Ave.,Kingsbridge Rd.,3169714,2762441,2713538,2502149,3499481,2516055,2713423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Jerome Ave.,Fordham Rd.,3196629,2752367,2658723,2904196,1844180,1820585,1889866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Jerome Ave.,183 St.,2375097,2040638,2008808,3751292,3498635,3649040,3705023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Jerome Ave.,Burnside Ave.,1829502,4122422,3991507,2096521,1097399,1934967,2056127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Jerome Ave.,176 St.,2669479,2203456,2094729,2392829,2191334,2128120,2312044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Jerome Ave.,Mt. Eden Ave.,3044896,2575410,2451865,3773707,3478687,3411797,3506380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Jerome Ave.,167 St.,1446943,4568190,4315869,3119568,1944495,2926039,3051122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Jerome Ave.,Segment Total,34665871,29607007,28364260,26521766,25080769,24704792,26055553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Burnside Ave. Closed 8/31/58,Anderson Ave./Jerome Ave.,1152707,1005351,942320,931740,906960,912414,883691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Burnside Ave. Closed 8/31/58,Sedgwick Ave.,463395,351581,,252311,241306,265369,299940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Burnside Ave. Closed 8/31/58,155 St.,,377278,339952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,Burnside Ave. Closed 8/31/58,Segment Total,2052115,1734210,1655366,1541752,1474375,1497296,1493324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,207 St.,,,,,,,,4560766,4409028,4114930,4055189,4022960,4070291,3864988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,Dyckman St./200 St.,,,,,,,,3566210,3383161,3118050,3061050,3022618,2948381,2853816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,190 St.,,,,,,,,1791823,1626129,1482047,1440297,1443732,1540548,4215344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,181 St.,,,,,,,,5617454,5220936,4693415,4509396,4368081,4307649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,175 St.,,,,,,,,8762917,8542207,8407514,8903592,,2630854,2515534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,168 St.,,,,,,,,3604806,3436928,3118384,2980608,2776294,2285954,2175033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,163 St.,,,,,,,,3526629,3029036,2715795,2611077,2442461,,1893011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,155 St.,,,,,,,,11527156,10759539,9852470,9593381,9406187,4555818,4045775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,145 St.,,,,,,,,5646270,5156183,4842296,4506187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,135 St.,,,,,,,,14402624,13217954,11852535,11367752,10985239,10730340,10529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,125 St.,,,,,,,,5533874,5072362,4463721,4238959,4088718,3948457,3745728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,116 St.,,,,,,,,3780533,3548575,3219093,3052146,3131500,2945965,2861161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,Cathedral Pkwy.,,,,,,,,2989018,2446522,2323391,2235882,2181602,2182608,172010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,103 St.,,,,,,,,4266879,4034289,3590501,3449673,3321126,3237403,3612042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,96 St.,,,,,,,,4856356,4681991,4381858,4018724,3809958,,2822805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,86 St.,,,,,,,,3928322,3761343,3313149,3161789,2990654,2953725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,81 St.,,,,,,,,3658078,3404082,2993006,2801993,2596427,2493026,3432006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,72 St.,,,,,,,,,,,,,,10009482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,8 Ave.,Segment Total,,,,,,,,91681734,85830232,78419486,76356889,74261716,72537016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,Concourse,205 St.,,,,,,,,7717010,7317005,6736415,6571823,6451669,6120267,5471518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,Concourse,Bedford Park Blvd.,,,,,,,,2973942,2813321,2514469,2559175,3695350,3524245,3288752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,Concourse,Kingsbridge Rd.,,,,,,,,4639704,7256133,6608054,6344809,5984875,5607791,5131780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,Concourse,Fordham Rd.,,,,,,,,7112763,6380758,5703475,5465758,3115810,3049093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,Concourse,182-183 Sts.,,,,,,,,4004928,3800852,3454883,3291722,,5497009,5114237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,Concourse,Tremont Ave.,,,,,,,,6569696,6869712,5803522,5693658,5837814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,Concourse,174-175 Sts.,,,,,,,,1958038,1660481,1515388,1418227,1705758,1799566,1772670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,Concourse,170 St.,,,,,,,,6042628,5665656,5190029,4962427,4636578,5152423,4734089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,Concourse,167 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,Concourse,155 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
,,,Concourse,Segment Total,,,,,,,,52599352,49860248,45382385,44035806,42422811,40583803,37730588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1947-1953, right side of page"
